Pos,Name,Salary,Team,Proj Pts
SFPF,LeBron James,11700,CLE,51.1481
PFC,DeMarcus Cousins,11500,NO,51.7315
PG,Russell Westbrook,11200,OKC,54.1846
SFPF,Kevin Durant,10900,GS,44.2181
PFC,Anthony Davis,10800,NO,47.7352
PG,John Wall,8900,WAS,38.8048
C,Marc Gasol,8800,MEM,44.1006
C,Karl-Anthony Towns,8700,MIN,40.63
PFC,Kristaps Porzingis,8600,NY,39.8461
C,Nikola Jokic,8600,DEN,37.754
PG,Kyrie Irving,8500,BOS,42.2786
PGSG,Tyreke Evans,8400,MEM,40.0714
PFC,Kevin Love,8300,CLE,41.549
SGSF,DeMar DeRozan,8200,TOR,38.6146
SG,Jimmy Butler,8000,MIN,41.776
PGSG,Jrue Holiday,7700,NO,35.0754
PG,Kyle Lowry,7600,TOR,36.2323
PFC,Draymond Green,7500,GS,32.3969
SG,Bradley Beal,7400,WAS,37.369
SFPF,Kyle Kuzma,7400,LAL,33.3485
PG,Dennis Schroder,7300,ATL,35.9979
PGSG,Kris Dunn,7200,CHI,32.4703
C,Dwight Howard,7200,CHA,30.6403
SF,Paul George,7100,OKC,32.2984
PGSG,Donovan Mitchell,7000,UTA,28.3291
PGSG,Spencer Dinwiddie,6900,BKN,31.3843
PFC,Enes Kanter,6800,NY,36.327
PFC,Al Horford,6800,BOS,34.5821
C,Myles Turner,6700,IND,29.9531
SG,Klay Thompson,6700,GS,27.4645
SFPF,Harrison Barnes,6600,DAL,34.2474
PG,Kemba Walker,6600,CHA,34.5107
PFC,Nikola Mirotic,6500,CHI,32.5135
SFPF,Rondae Hollis-Jefferson,6400,BKN,28.5952
PFC,Zach Randolph,6300,SAC,30.0295
SGSF,Kent Bazemore,6200,ATL,31.6666
SG,Gary Harris,6200,DEN,26.3376
SGSF,Brandon Ingram,6100,LAL,25.1274
PG,Jeff Teague,6100,MIN,31.0931
SGSF,Rodney Hood,6100,UTA,25.177
PFC,Taj Gibson,6000,MIN,24.0917
SFPF,Otto Porter Jr.,5900,WAS,31.583
PFC,Serge Ibaka,5900,TOR,27.5938
PGSG,Jamal Murray,5900,DEN,25.4435
SGSF,Taurean Prince,5800,ATL,8.9063
SGSF,Will Barton,5800,DEN,26.0613
PFC,Derrick Favors,5800,UTA,23.8665
PF,Lauri Markkanen,5700,CHI,25.1794
SFPF,Thaddeus Young,5700,IND,22.1349
C,Steven Adams,5700,OKC,29.0917
SGSF,Andrew Wiggins,5700,MIN,24.4466
PG,Ricky Rubio,5700,UTA,22.1286
C,Marcin Gortat,5600,WAS,22.0099
PFC,John Collins,5600,ATL,26.5251
PGSG,Jordan Clarkson,5600,LAL,28.2547
PFC,Willie Cauley-Stein,5600,SAC,27.7693
SFPF,Jayson Tatum,5600,BOS,31.1517
PG,Rajon Rondo,5600,NO,19.8869
PG,Darren Collison,5500,IND,27.3426
SFPF,Carmelo Anthony,5500,OKC,27.8344
PFC,Domantas Sabonis,5400,IND,24.0036
SGSF,Nicolas Batum,5400,CHA,23.4217
SGSF,Justin Holiday,5300,CHI,25.7385
SG,Kentavious Caldwell-Pope,5300,LAL,24.8042
SFPF,DeMarre Carroll,5300,BKN,26.8343
PFC,Julius Randle,5200,LAL,24.8239
PGSG,Dwyane Wade,5200,CLE,25.6273
SGSF,Marcus Smart,5200,BOS,28.4081
SGSF,Caris LeVert,5200,BKN,24.942
SGSF,Courtney Lee,5100,NY,26.2874
PGSG,Dennis Smith Jr.,5100,DAL,24.3917
PGSG,J.J. Barea,5000,DAL,27.7276
SGSF,Buddy Hield,5000,SAC,29.6471
SGSF,Jeremy Lamb,4900,CHA,24.3574
PFC,Jordan Bell,4900,GS,23.9637
SFPF,Ersan Ilyasova,4800,ATL,26.4031
SFPF,Michael Beasley,4800,NY,24.4108
PFC,Dirk Nowitzki,4800,DAL,25.1129
SGSF,Joe Ingles,4800,UTA,21.3172
SGSF,Kelly Oubre Jr.,4700,WAS,23.5087
SFPF,Markieff Morris,4700,WAS,22.3358
C,Jonas Valanciunas,4700,TOR,25.0955
SFPF,Wilson Chandler,4700,DEN,22.5443
PFC,Bobby Portis,4600,CHI,23.8769
PGSF,Denzel Valentine,4600,CHI,23.2349
PGSG,Yogi Ferrell,4600,DAL,15.2076
PGSG,Terry Rozier,4600,BOS,20.3309
SGSF,E'Twaun Moore,4600,NO,21.4621
PF,Mike Scott,4500,WAS,15.5267
PG,Jarrett Jack,4500,NY,20.5356
C,Robin Lopez,4500,CHI,19.6731
PGSG,Josh Hart,4500,LAL,20.88
PGSG,George Hill,4500,SAC,27.051
SGSF,Wesley Matthews,4400,DAL,21.8217
SFPF,Larry Nance Jr.,4400,LAL,0
PFC,Mason Plumlee,4400,DEN,19.9504
SFPF,Trey Lyles,4400,DEN,27.1277
SGSF,Bojan Bogdanovic,4300,IND,20.425
SGSF,Lance Stephenson,4300,IND,25.7951
SFPF,Chandler Parsons,4300,MEM,21.7508
PGSG,Alec Burks,4300,UTA,10.4276
PFC,Jakob Poeltl,4200,TOR,18.5218
SGSF,Allen Crabbe,4200,BKN,21.0462
SGSF,Andre Iguodala,4200,GS,15.3739
PGSG,Andrew Harrison,4100,MEM,21.5395
PFC,Jarell Martin,4100,MEM,17.4197
SF,Michael Kidd-Gilchrist,4100,CHA,21.866
PFC,Frank Kaminsky,4100,CHA,18.5897
SGSF,David Nwaba,4000,CHI,17.6455
PF,Maxi Kleber,4000,DAL,16.9108
SGSF,Bogdan Bogdanovic,4000,SAC,25.0543
PGSG,Garrett Temple,4000,SAC,19.1905
SFPF,Omri Casspi,4000,GS,12.9125
SFPF,Jeff Green,3900,CLE,17.3173
SGSF,J.R. Smith,3900,CLE,14.6077
PGSG,Frank Mason III,3900,SAC,19.1254
SFPF,Jae Crowder,3900,CLE,16.9511
SFPF,Marvin Williams,3900,CHA,15.8812
SG,Jamal Crawford,3900,MIN,18.0945
PGSG,Malcolm Delaney,3800,ATL,17.0193
PFC,Kyle O'Quinn,3800,NY,17.0046
PGSG,Frank Ntilikina,3800,NY,13.6286
SGSF,Dillon Brooks,3800,MEM,14.8322
PG,Jose Calderon,3800,CLE,11.7894
PGSG,Delon Wright,3800,TOR,15.7252
PG,Emmanuel Mudiay,3800,DEN,8.9203
SGSF,Joe Harris,3800,BKN,16.8245
PGSG,Tomas Satoransky,3700,WAS,7.7944
PG,Cory Joseph,3700,IND,19.3342
PF,Pascal Siakam,3700,TOR,17.8152
SGSF,C.J. Miles,3700,TOR,12.5762
SFPF,Jerami Grant,3700,OKC,14.1194
SGSF,Andre Roberson,3700,OKC,15.9555
SGSF,Torrey Craig,3700,DEN,12.4435
SGSF,Joe Johnson,3700,UTA,13.0761
SG,Marco Belinelli,3600,ATL,19.2514
PGSG,Devin Harris,3600,DAL,13.3016
SGSF,Kyle Korver,3600,CLE,14.9705
SFPF,OG Anunoby,3600,TOR,12.9193
C,Aron Baynes,3600,BOS,13.7175
PFC,Daniel Theis,3600,BOS,19.2524
PFC,Gorgui Dieng,3600,MIN,12.4948
SFPF,Jonas Jerebko,3600,UTA,20.3028
PFC,Ekpe Udoh,3600,UTA,7.9421
PGSG,Shaun Livingston,3600,GS,8.6012
PGSF,Patrick McCaw,3600,GS,13.5504
C,Miles Plumlee,3500,ATL,12.526
SFPF,Doug McDermott,3500,NY,11.0553
C,Kosta Koufos,3500,SAC,16.1033
PFC,Tristan Thompson,3500,CLE,12.6664
SGSF,Norman Powell,3500,TOR,9.369
PG,Fred VanVleet,3500,TOR,14.9718
C,Tyler Zeller,3500,BKN,17.3001
SGSF,Thabo Sefolosha,3500,UTA,12.5614
PFC,David West,3500,GS,11.5315
PF,Tyler Cavanaugh,3400,ATL,11.889
C,Ian Mahinmi,3400,WAS,9.7398
PGSG,Tyus Jones,3400,MIN,14.2469
PGSG,Jameer Nelson,3400,NO,12.9936
PFC,Jarrett Allen,3400,BKN,15.4101
PGSG,Nik Stauskas,3400,BKN,7.9111
PGSG,Ron Baker,3300,NY,9.6188
SGSF,Paul Zipser,3300,CHI,9.2544
SFPF,Lance Thomas,3300,NY,11.975
PFC,Dwight Powell,3300,DAL,14.9006
PFC,Channing Frye,3300,CLE,10.2812
C,Lucas Nogueira,3300,TOR,7.8769
SGSF,Alex Abrines,3300,OKC,8.0517
PG,Shane Larkin,3300,BOS,10.1065
SFPF,Nemanja Bjelica,3300,MIN,10.6084
SFPF,Juancho Hernangomez,3300,DEN,7.1292
SFPF,Dante Cunningham,3300,NO,14.2679
SF,Darius Miller,3300,NO,14.883
PFC,Quincy Acy,3300,BKN,12.6593
C,Zaza Pachulia,3300,GS,13.5299
SG,Nick Young,3300,GS,7.2913
SGSF,James Ennis III,3200,MEM,12.4735
PFC,Patrick Patterson,3200,OKC,7.6782
SG,Jodie Meeks,3100,WAS,10.932
PGSG,Raymond Felton,3100,OKC,12.5544
PG,Quinn Cook,3100,GS,9.1546
C,Mike Muscala,3000,ATL,7.2002
PFC,Deyonta Davis,3000,MEM,12.198
C,Andrew Bogut,3000,LAL,10.0463
SG,Kobi Simmons,3000,MEM,10.7592
PGSG,Tyler Ennis,3000,LAL,8.8573
SGSF,Justin Jackson,3000,SAC,5.8199
SFPF,Josh Huestis,3000,OKC,5.3748
SGSF,Treveon Graham,3000,CHA,11.0616
C,Timofey Mozgov,3000,BKN,8.6259
